Province,District,MOH/QC/Camp,"Date of last positive
case","Cases from 4th
October 2020"
North Central,Anuradhapura,Medawachchiya,29/05/2021,63
North Central,Anuradhapura,Mihinthale,29/05/2021,101
North Central,Anuradhapura,Nachchaduwa,18/04/2021,4
North Central,Anuradhapura,Nochchiyagama,31/05/2021,71
North Central,Anuradhapura,"NuwaragamPalatha
Central",31/05/2021,443
North Central,Anuradhapura,"NuwaragamPalatha
East",31/05/2021,486
North Central,Anuradhapura,Padaviya,27/05/2021,11
North Central,Anuradhapura,Palagala,24/05/2021,34
North Central,Anuradhapura,Palugaswewa,27/04/2021,2
North Central,Anuradhapura,Rajanganaya,30/05/2021,24
North Central,Anuradhapura,Rambewa,29/05/2021,41
North Central,Anuradhapura,Thalawa,31/05/2021,120
North Central,Anuradhapura,Thambuttegama,29/05/2021,89
North Central,Anuradhapura,Thirappane,27/05/2021,10
North Central,Anuradhapura,"NAVY QC
NOCHCHIYAGAMA",9/5/2021,7
North Central,Anuradhapura,NAVAL POONEWA,26/12/2020,4
North Central,Anuradhapura,QC PGVH NOCHCHIYAGAMA,28/12/2020,1
North Central,Anuradhapura,QC NAVY MIHINTALE,18/01/2021,1
North Central,Anuradhapura,QC VELANKULAM,22/02/2021,7
North Central,Anuradhapura,ANURADHAPURA QC,2/4/2021,4
North Central,Anuradhapura,"CEYLON LODGE HOTEL -
ANURADHAPURA",10/3/2021,3
North Central,Anuradhapura,RAJARATA HOTEL,24/03/2021,8
North Central,Anuradhapura,QC PALM GARDEN HOTEL,7/5/2021,7
North Central,Anuradhapura,NUWARAWEWA,9/5/2021,2
North Central,Anuradhapura,HABARANA SUN GREEN,2/5/2021,4
North Central,Anuradhapura,"621 BDE
PARAKCRAMAPURA",15/05/2021,1
North Central,Polonnaruwa,Aralaganvila,30/05/2021,30
North Central,Polonnaruwa,Dimbulagala/Siripura,28/05/2021,47
North Central,Polonnaruwa,Elahera,30/05/2021,54
North Central,Polonnaruwa,Hingurakgoda,31/05/2021,234
North Central,Polonnaruwa,Lankapura,30/05/2021,63
North Central,Polonnaruwa,Medirigiriya,29/05/2021,37
North Central,Polonnaruwa,Thamankaduwa,31/05/2021,272
North Central,Polonnaruwa,Welikanda,31/05/2021,102
North Central,Polonnaruwa,DGHP ISOLATION,24/01/2021,3
